schooldbn,Name,fl_percent,frl_percent,total_enrollment,prek,k,grade1,grade2,grade3,grade4,grade5,grade6,grade7,grade8,grade9,grade10,grade11,grade12,ell_num,ell_percent,sped_num,sped_percent,ctt_num,selfcontained_num,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,district,printedschoolname,overview,neighborhood,address,sharedbuilding,accessibility,telephone,independentwebsite,subway,bus,code_prog1,name_prog1,admissionsmethod_prog1,geapps_prog1,swdapps_prog1,geappsperseat_prog1,swdappsperseat_prog1,swdseats_prog1,geseats_prog1,gefilled_prog1,swdfilled_prog1,eligibility_prog1,priority1_prog1,priority2_prog1,priority3_prog1,priority4_prog1,priority5_prog1,priority6_prog1,priority7_prog1,prefnote_prog1,lowestpriority_prog1,selectioncriteria1_prog1,selectioncriteria2_prog1,selectioncriteria3_prog1,selectioncriteria4_prog1,selectioncriteria5_prog1,selectioncriteria6_prog1,selectioncriteria7_prog1,selectioncriteria8_prog1,selectioncriteria9_prog1,selectioncriteria10_prog1,selectioncriteria11_prog1,selectioncriteria12_prog1,revealed_prog1,code_prog2,name_prog2,admissionsmethod_prog2,geapps_prog2,swdapps_prog2,geappsperseat_prog2,swdappsperseat_prog2,swdseats_prog2,geseats_prog2,gefilled_prog2,swdfilled_prog2,eligibility_prog2,priority1_prog2,priority2_prog2,priority3_prog2,priority4_prog2,priority5_prog2,priority6_prog2,priority7_prog2,prefnote_prog2,lowestpriority_prog2,selectioncriteria1_prog2,selectioncriteria2_prog2,selectioncriteria3_prog2,selectioncriteria4_prog2,selectioncriteria5_prog2,selectioncriteria6_prog2,selectioncriteria7_prog2,selectioncriteria8_prog2,selectioncriteria9_prog2,selectioncriteria10_prog2,selectioncriteria11_prog2,selectioncriteria12_prog2,revealed_prog2,code_prog3,name_prog3,admissionsmethod_prog3,geapps_prog3,swdapps_prog3,geappsperseat_prog3,swdappsperseat_prog3,swdseats_prog3,geseats_prog3,gefilled_prog3,swdfilled_prog3,eligibility_prog3,priority1_prog3,priority2_prog3,priority3_prog3,priority4_prog3,priority5_prog3,priority6_prog3,priority7_prog3,prefnote_prog3,lowestpriority_prog3,selectioncriteria1_prog3,selectioncriteria2_prog3,selectioncriteria3_prog3,selectioncriteria4_prog3,selectioncriteria5_prog3,selectioncriteria6_prog3,selectioncriteria7_prog3,selectioncriteria8_prog3,selectioncriteria9_prog3,selectioncriteria10_prog3,selectioncriteria11_prog3,selectioncriteria12_prog3,revealed_prog3,code_prog4,name_prog4,admissionsmethod_prog4,geapps_prog4,swdapps_prog4,geappsperseat_prog4,swdappsperseat_prog4,swdseats_prog4,geseats_prog4,gefilled_prog4,swdfilled_prog4,eligibility_prog4,priority1_prog4,priority2_prog4,priority3_prog4,priority4_prog4,priority5_prog4,priority6_prog4,priority7_prog4,prefnote_prog4,lowestpriority_prog4,selectioncriteria1_prog4,selectioncriteria2_prog4,selectioncriteria3_prog4,selectioncriteria4_prog4,selectioncriteria5_prog4,selectioncriteria6_prog4,selectioncriteria7_prog4,selectioncriteria8_prog4,selectioncriteria9_prog4,selectioncriteria10_prog4,selectioncriteria11_prog4,selectioncriteria12_prog4,revealed_prog4,code_prog5,name_prog5,admissionsmethod_prog5,geapps_prog5,swdapps_prog5,geappsperseat_prog5,swdappsperseat_prog5,swdseats_prog5,geseats_prog5,gefilled_prog5,swdfilled_prog5,eligibility_prog5,priority1_prog5,priority2_prog5,priority3_prog5,priority4_prog5,priority5_prog5,priority6_prog5,priority7_prog5,prefnote_prog5,lowestpriority_prog5,selectioncriteria1_prog5,selectioncriteria2_prog5,selectioncriteria3_prog5,selectioncriteria4_prog5,selectioncriteria5_prog5,selectioncriteria6_prog5,selectioncriteria7_prog5,selectioncriteria8_prog5,selectioncriteria9_prog5,selectioncriteria10_prog5,selectioncriteria11_prog5,selectioncriteria12_prog5,revealed_prog5,code_prog6,name_prog6,admissionsmethod_prog6,geapps_prog6,swdapps_prog6,geappsperseat_prog6,swdappsperseat_prog6,swdseats_prog6,geseats_prog6,gefilled_prog6,swdfilled_prog6,eligibility_prog6,priority1_prog6,priority2_prog6,priority3_prog6,priority4_prog6,priority5_prog6,priority6_prog6,priority7_prog6,prefnote_prog6,lowestpriority_prog6,selectioncriteria1_prog6,selectioncriteria2_prog6,selectioncriteria3_prog6,selectioncriteria4_prog6,selectioncriteria5_prog6,selectioncriteria6_prog6,selectioncriteria7_prog6,selectioncriteria8_prog6,selectioncriteria9_prog6,selectioncriteria10_prog6,selectioncriteria11_prog6,selectioncriteria12_prog6,revealed_prog6,coursepassrate,elaprof,mathprof,tophs1,tophs2,tophs3,surveysafety,totalstudents,gradespan,communityschool,schoolday,uniform,ellprograms,communityservice,extendedday,summersession,weekendprogram,languageclasses,acceleratedclasses,electiveclasses,activities,champsboys,champsgirls,champscoed,othersports,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,boro_cd
32K162,JHS 162 THE WILLOUGHBY,97.6,,793,,,,,,,,265,271,257,,,,,136,17.2,103,13,19,54,36,4.5,63,7.9,680,85.8,11,1.4,402,50.7,391,49.3,32,Willoughby School (J.H.S. 162),"I.S. 162—The Willoughby School—is committed to preparing students with the necessary skills needed to be a productive and contributing member of our community. I.S. 162 fosters a caring and safe learning environment where all members accept the responsibility of preparing our students for continued achievement. Through our collaborative, student-centered culture, students are provided with the opportunities to succeed and celebrate every success. The administration at I.S. 162 is able to articulate a clear school mission and set high expectations for both teachers and students. They are a visible presence in classrooms and hallways, interacting with students and supervising them. Students spend a large portion of the day working with teachers to improve instruction and are actively involved in diagnosing and rectifying instructional problems.",Bushwick,"1390 Willoughby Avenue, Brooklyn NY 11237",No,Not Accessible,718-821-4860,is162.com,L to Jefferson St,"B13, B38, B57, Q54",K162M,Grade 6 Academy,Screened,195,36,5,4,9,41,Y,N,Open to students and residents of District 32,,,,,,,,,,Academic and Personal Behaviors,Attendance,Final 4th Grade Report Card,4th Grade New York State ELA and Math Exams,Punctuality,,,,,,,,,K162Z,Zoned Program,Zoned,,,,,,,,,Open to students residing in the zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Math, Engineering, and Science Academy Charter High School","The High School for Enterprise, Business and Technology",Williamsburg Preparatory School,,,GR 6-8,No,8:10am-2:30pm,No,English as a New Language,No,Yes,Yes,Yes,Spanish,,"Arts, Technology",21st Century Community Learning Center ; Art and Music ; Book Club ; Breakfast Club ; Coding Club ; Cooking Club ; Counseling ; Crafting Club ; Dance ; Fashion Club ; Homework Help ; Karate ; Leadership Club ; Robotics Club ; Science Club ; Sports and Arts Program ; Theater ; Urban Advantage ; Western Queens Mental Health (provides a counselor),,,Fitness Club,"Basketball, Flag Football",11237,2,40.707229,-73.919805,4,34,445,3073018,3032120001,Bushwick North                                                             ,204
32K291,JHS 291 ROLAND HAYES,93.1,,1020,,,,,,,,334,319,367,,,,,142,13.9,127,12.5,10,59,10,1,360,35.3,632,62,10,1,538,52.7,482,47.3,32,Roland Hayes (J.H.S. 291),"Roland Hayes is a community of educators and learners; we are a Community School that offers many social-emotional services for students and social service supports for families. Our students are called HAWKS! HAWKS children take mathematics, English language arts, social studies, science, and physical education/health in all grades. The curriculum also includes basketball, volleyball, art, and several arts-based project courses, advisory, drumline, teen entrepreneurship, high school connection, martial arts, and FYREZone. We celebrate HAWKS children with attendance awards, honor roll, and many rewards for being hard-working, accountable, well-rounded, kind-hearted, safe, steadfast, and successful. Parents are kept abreast of students' progress with progress reports and monthly Parent Breakfast. As a diverse learning community, we are pleased to offer Special Education and Transitional Bilingual Education courses. Our vision is to graduate students who are academically and socially-emotionally ready for the challenges of high school and career. To show our commitment to students' future we offer Regents courses in Common Core Algebra I and Living Environment Science.",Bushwick,"231 Palmetto Street, Brooklyn NY 11221","Yes—32K291, 32K564, 84K733",Accessible,718-574-0361,schools.nyc.gov/schoolportals/32/k291,M to Knickerbocker Ave; L to Myrtle Ave-Wyckoff Ave,"B13, B26, B52, B54, B60, Q55, Q58",K291M,Rising HAWKS,Screened,258,59,9,10,6,29,N,Y,Open to students and residents of Brooklyn,Priority to students and residents of District 32,"Then to students and residents of Brooklyn. Last year, this program admitted students from all priority groups.",,,,,,,,Attendance,Final 4th Grade Report Card,4th Grade New York State ELA and Math Exams,Portfolio of Student Work,Punctuality,Writing Sample,,,,,,,,K291Z,Zoned Program,Zoned,,,,,,,,,Open to students residing in the zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EBC High School for Public Service-Bushwick,Academy for Environmental Leadership,"Math, Engineering, and Science Academy Charter High School",,,GR 6-8,Yes,8am-2:20pm,Yes,"English as a New Language, Transitional Bilingual Education: Spanish",Yes–Expected,Yes,Yes,Yes–Saturday program,,,,Arts Program Sponsored by Brooklyn College Community Partnership (BCCP) ; FYRE Zone Chorus and Choreography Program,,Volleyball League,"Developmental Basketball, Flag Football",Soccer,11221,2,40.695362,-73.915142,4,37,433,3076460,3033430001,Bushwick North                                                             ,204
32K347,IS 347 SCHOOL OF HUMANITIES,89,,578,,,,,,,,178,207,193,,,,,91,15.7,75,13,10,46,11,1.9,72,12.5,489,84.6,5,0.9,272,47.1,306,52.9,32,School of Humanities (I.S. 347),Students appreciate the value we place on their education. Students have many opportunities to participate in both academic and extracurricular activities. We value parents' opinions and our staff members welcome parent feedback and participation. We have a comprehensive and successful Spanish program.,Bushwick,"35 Starr Street, Brooklyn NY 11221","Yes—32K347, 32K349, 84K358, 84K538",Not Accessible,718-821-4248,schools.nyc.gov/schoolportals/32/k347,"M to Central Ave; L to Morgan Ave; J, Z to Myrtle Ave","B13, B38, B46, B47, B54, B57, B60",K347M,6th Grade Academy,Screened,220,53,3,4,15,75,N,Y,Open to students and residents of District 32,,,,,,,,,,Attendance,Final 4th Grade Report Card,4th Grade New York State ELA and Math Exams,Punctuality,,,,,,,,,,K347Z,School of Humanities (I.S. 347),Zoned,,,,,,,,,Open to students residing in the zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EBC High School for Public Service-Bushwick,Jacqueline Kennedy Onassis High School,Bushwick Leaders High School for Academic Excellence,,,GR 6-8,No,8:02am-2:22pm,Yes,English as a New Language,No,Yes,Yes,Yes,Spanish,,"Dance, Drumline, Visual Arts","21st Century Grant: Art ; After-School Homework Help ; After-School Support in ELA, Math, English as a New Language, and Social Studies ; Chorus ; Dance ; Drum Line ; In-House Beacon Program (offers computer literacy and English as a New Language classes for adults) ; Karate ; Model United Nations ; Photography ; Science ; YMCA/Beacon Program",,,"Tennis, Volleyball","Baseball, Basketball, Volleyball",11221,2,40.70069,-73.927481,4,34,423,3072497,3031850001,Bushwick South                                                             ,204
32K349,I.S. 349 MATH SCIENCE & TECH,89.4,,558,,,,,,,,181,198,179,,,,,103,18.5,69,12.4,5,34,6,1.1,83,14.9,462,82.8,4,0.7,287,51.4,271,48.6,32,"Math, Science & Technology (I.S. 349)","Students value the safe, nurturing, and responsive support that our staff offers. Students are proud to be a part of a dynamic academic community. Parents appreciate our caring school community where staff members identify students' needs and provide them with opportunities to improve academic achievement and social development. Students are provided with an extended school day, benefiting from an additional five hours of instruction per week. Technology is a centerpiece of the school including interactive flat panels in every class room, a 3-D printer lab, and an after-school robotics club. The school uses the Skedula system to provide a platform for parents to communicate with teachers and track their child's academic progress. Additionally, as a Community School with our partner, the Center for Supportive Schools, the school provides additional social-emotional supports for students and families through the Peer Group Connection program, where incoming sixth graders are mentored by eighth graders. Sixth graders also enjoy our annual retreat to Camp Ramapo, where they can build strong bonds with their classmates and teachers to support them throughout middle school.",Bushwick,"35 Starr Street, Brooklyn NY 11221","Yes—32K347, 32K349, 84K358, 84K538",Not Accessible,718-418-6389,schools.nyc.gov/schoolportals/32/k349,"M to Central Ave; L to Morgan Ave; J, Z to Myrtle Ave","B13, B38, B46, B47, B54, B57, B60",K349U,"Math, Science & Technology Magnet Program",Unscreened,662,106,9,7,15,75,Y,Y,Open to students and residents of Brooklyn,Priority to students and residents of District 32,"Then to students and residents of Brooklyn. Last year, this program admitted students from all priority groups.",,,,,,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,,,,,,,,,,,K349Z,"Math, Science & Technology (I.S. 349)",Zoned,,,,,,,,,Open to students residing in the zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High School for Health Professions and Human Services,EBC High School for Public Service-Bushwick,"The High School for Enterprise, Business and Technology",,,GR 6-8,Yes,8:15am-3:45pm,Yes,"English as a New Language, Transitional Bilingual Education: Spanish",No,Yes,Yes–Academic support and enrichment,Yes–Saturday program,Spanish,Spanish,"3-D Printing, Computer Programming, Music, Technology","Extended Learning Time Program (five hours per week) ; Voluntary After-School Program (through community-based partner featuring a variety of courses and activities such as Portrait Painting, Robotics, Zoomba, and Homework Help)",,,Fitness Club,"Champs Sports-Basketball, Soccer, Wrestling",11221,2,40.70069,-73.927481,4,34,423,3072497,3031850001,Bushwick South                                                             ,204
32K377,PS 377 ALEJANDRINA B DEGAUTIER,79.5,,835,72,96,138,144,143,134,108,,,,,,,,155,18.6,100,12,33,31,5,0.6,179,21.4,642,76.9,7,0.8,410,49.1,425,50.9,32,Alejandrina Benitez de Gautier School (P.S. 377),"P.S./I.S. 377 provides every child with the opportunity to fall in love with learning. We aim to stimulate their curious minds by engaging them in a positive course of study that holds to performance standards. Students are taught to take responsibility for their own learning. Through the collaborative effort of the parents, teachers, and staff, our students will be enriched with the academic and social skills needed to become active and productive members of society.",Bushwick,"200 Woodbine Street, Brooklyn NY 11221","Yes—32K377, 84K784",Accessible,718-574-0325,schools.nyc.gov/SchoolPortals/32/K377,"M to Knickerbocker Ave; L to Myrtle Ave-Wyckoff Ave; J, Z to Gates Ave","B13, B20, B26, B52, B54, B60, Q24, Q55, Q58",K377Z,Alejandrina Benitez de Gautier (P.S./I.S. 377),Zoned,,,,,,,,,Open to continuing 5th grade students and students residing in the elementary school zone,Priority to continuing 5th grade students,"Then to students residing in the elementary school zone. Last year, this program admitted students from priority groups.",,,,,,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Math, Engineering, and Science Academy Charter High School",Academy for Environmental Leadership,Williamsburg Preparatory School,,,GR PK-8,No,8:10am-2:30pm,No,English as a New Language,No,No,No,No,Spanish,,"Art, Technology",Advisory Program ; Monthly Educational Student Assemblies ; Student Council,,,Flag Football,"Basketball, Cheerleading",11221,2,40.694018,-73.915263,4,37,415,3076784,3033600001,Bushwick South                                                             ,204
32K383,JHS 383 PHILLIPPA SCHUYLER,55.8,,1131,,,,,,,105,326,251,449,,,,,22,1.9,55,4.9,,52,35,3.1,785,69.4,295,26.1,11,1,512,45.3,619,54.7,32,Philippa Schuyler (J.H.S. 383),"Students at our school are assigned instructional programs that meet their individual gifts and talents. Philippa Schuyler offers a variety of acceleration and enrichment opportunities that include advanced language arts and math classes, Regents classes in algebra, living environment, earth science, French, and Spanish. Major performing arts courses are offered in a variety of dance styles including: jazz, modern, ballet, and urban dance. Additional major performing arts courses include: theater, steel pan, and chorus. Major visual arts courses and other electives include: medical studies, technology, robotics, hydroponic gardening, and African American studies. In addition, we offer preparation courses for Specialized High School testing. Our school also offers a state-of-the-art hydroponic science lab. Our instructional program focuses on project-based instruction and assessment to promote rigorous critical-thinking and citizenship skills.",Bushwick,"1300 Greene Avenue, Brooklyn NY 11237","Yes—32K383, 84K538",Accessible,718-574-0390,philippaschuyler383.org,M to Knickerbocker Ave; L to DeKalb Ave,"B13, B26, B38, B52, B54, B60, Q55, Q58",K383M,Philippa Schuyler (J.H.S. 383),Screened,1557,193,5,3,56,286,Y,Y,Open to students and residents of Brooklyn and Queens,Priority to continuing 5th grade students,"Then to students and residents of Brooklyn and Queens. Last year, this program admitted students from all priority groups.",,,,,,,,Attendance,Final 4th Grade Report Card,4th Grade New York State ELA and Math Exams,Reading and Math Assessment,Writing Exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Math, Engineering, and Science Academy Charter High School",Brooklyn College Academy,High School for Health Professions and Human Services,,,GR 5-8,No,8:20am-2:40pm,Yes,English as a New Language,No,Yes,No,No,"French, Spanish","Algebra I, Earth Science, Living Environment","African American Studies, Hydroponic Gardening, Medical Studies, Robotics, Technology. Partnerships include: About the Swing, Ballet, Chorus, Drama, Fidelity Future Stages (LeAP), Jazz, Lincoln Center Shakespeare, Steel Pan, Steel Pan Classics, Urban Advantage, Urban Dance, Visual Arts",Chess Club ; International Trips ; Kaplan Specialized High School Preparation Course ; LEGO Robotic League ; Mighty Milers Club ; National Junior Beta Club ; National Junior Honor Society (NJHS) ; Recycling Team ; Science Fair ; Soccer Club ; Social Studies Fair ; Student Government ; Winter and Spring Performing Arts Concert,Basketball League,,"Cheerleading, Flag Football","Basketball, Cheerleading, Soccer, Tennis",11237,2,40.697781,-73.919777,4,37,431,3075413,3032980001,Bushwick North                                                             ,204
32K384,PS 384 FRANCES E CARTER,98.4,,587,36,66,113,102,83,96,91,,,,,,,,86,14.7,74,12.6,1,57,7,1.2,163,27.8,406,69.2,6,1,300,51.1,287,48.9,32,Frances E. Carter School (P.S./I.S. 384),Please contact the school for more information.,Bushwick,"242 Cooper Street, Brooklyn NY 11207","Yes—32K384, 75K053",Accessible,718-642-4890,schools.nyc.gov/schoolportals/32/k384,L to Wilson Ave,"B20, B26",K384Z,Frances E. Carter (P.S./I.S. 384),Zoned,,,,,,,,,Open to continuing 5th grade students and students residing in the elementary school zone,Priority to continuing 5th grade students,"Then to students residing in the elementary school zone. Last year, this program admitted students from priority groups.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Williamsburg Preparatory School,International High School at Union Square,,,,GR PK-8,No,8:05am-2:25pm,Yes,English as a New Language,No,Yes,Yes,No,,,"Art, Music, Technology",,Basketball League,Volleyball,,"Sports and Arts in Schools Foundation: (Seasonal): Flag Football, Basketball, Soccer, Softball",11207,2,40.690353,-73.904803,4,37,409,3080043,3034420001,Bushwick North                                                             ,204
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,89.2,,237,,,,,,,,56,29,58,45,23,26,,10,4.2,15,6.3,,,6,2.5,53,22.4,174,73.4,1,0.4,120,50.6,117,49.4,32,All City Leadership Secondary School,Our school offers parent orientations on weekends in both English and Spanish for the upcoming school year for two select weekends in the Fall. Please contact the school for the dates and times.,Bushwick,"321 Palmetto Street, Brooklyn NY 11237","Yes—32K554, 79Q950",Not Accessible,718-246-6500,schools.nyc.gov/schoolportals/32/k554,"L, M to Myrtle Ave-Wyckoff Ave","B13, B26, B38, B52, B54, B60, Q55, Q58",K554M,Middle School Leadership Pgm,School-Based,,,,,,,,,Open to students and residents of Brooklyn and Queens,,,,,,,,,,Academic and Personal Behaviors,Attendance,Final 4th Grade Report Card,Interview,Punctuality,4th Grade New York State ELA and Math Exams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All City Leadership Secondary School,,,,,GR 6-12,No,7:45am-2:35pm, Yes–Official uniform must be purchased,English as a New Language,No,No,Yes–Academic support for certain students,Yes,Spanish,"Algebra I, Living Environment, Spanish",,Chess Club (Tournament-Based) ; Computer Technology ; Dance ; Introduction to Business ; Journalism (School Newspaper) ; Leadership Skill Development ; Marching Band ; Pre-Law/Debate Club ; Robotics/Pre-Engineering ; Video/Photography ; Visual Arts (After-School Program),Basketball League,"Basketball League, Volleyball League",,"Baseball, Dance, European Team Handball, Soccer",11237,2,40.69737,-73.913171,4,37,433,3413715,3033440136,Bushwick North                                                             ,204
19K089,PS 089 CYPRESS HILLS,84.3,,251,,35,38,43,31,26,23,20,17,18,,,,,76,30.3,20,8,,16,6,2.4,40,15.9,202,80.5,1,0.4,134,53.4,117,46.6,19,Cypress Hills Community School (P.S./I.S. 89),"Cypress Hills Community School (CHCS) is a small, community-based, dual-language school where students learn in Spanish and English. The school's mission is for all students to become fully bilingual and bi-cultural, and to be deeply concerned about themselves and each other, their community, and the world. We offer native language instruction to all students, including: Spanish language arts, content area instruction in Spanish, and targeted tutoring groups during the school day and after school. The small environment allows students to develop positive relationships with their teachers, where they benefit from both academic and emotional support. CHCS has developed a philosophy guided by Project CARE (Communication, Accountability, Respect, and Effort). These core values provide a common language we believe is necessary for fostering and maintaining a peaceful and productive environment.",East New York,"265 Warwick Street, Brooklyn NY 11207",No,Accessible,718-964-1180,cypresshillscommunityschool.org,"J to Cleveland St; C, Z to Van Siclen Ave","B14, Q24, Q56",K089M,Spanish Newcomers Program,Screened: Language,283,67,5,4,17,53,Y,Y,Open to students and residents of District 19,Priority to continuing 5th grade students,"Then to students and residents of District 19. Last year, this program admitted students from all priority groups.",,,,,,,,Attendance,Punctuality,NYSESLAT Score,Entrance Exam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushwick Leaders High School for Academic Excellence,Transit Tech Career and Technical Education High School,,,,GR PK-8,No,8am-2:20pm,Yes,"English as a New Language, Dual Language: Spanish",Yes–Expected,Yes,No,No,,Algebra I,"Fitness, Greenhouse, Information Studies, Music, Technology, Visual Art",Advisory ; Art ; Band ; Choir ; Drama ; MOUSE Squad ; Peer Mediation ; Yearbook,Flag Football,Fitness Club,"Developmental Basketball, Fitness Club, Volleyball",Track and Field,11207,2,40.677697,-73.886936,5,37,1170,3397079,3039520047,East New York                                                              ,205
19K171,I S 171 ABRAHAM LINCOLN,90.6,,1055,,,,,,,138,281,327,309,,,,,207,19.6,132,12.5,,80,100,9.5,177,16.8,750,71.1,14,1.3,548,51.9,507,48.1,19,Abraham Lincoln Intermediate School (I.S. 171),"Welcome to I.S. 171, Home of the Lincoln Scholar. We at Abraham Lincoln Intermediate School 171 are a community of educators dedicated to the belief that every child can learn and is entitled to a high-quality education. Our students have the opportunity to take the Algebra and US History Regents courses as well the Spanish Language Proficiency exam. We were the first in the city to host the Middle School Student Success Center (MSSSC), which focuses on supporting students' high school and college choice and preparation. Students can choose from visual arts, debate, theater arts, Spanish, coding, and physical education electives. We offer the following after-school programs: Theater/Drama, Video Game Truck, Modeling & Etiquette, and Debate Team. Students can also participate in Student Government, Project BOOST, STEM Club, Student Dances, College Prep assemblies, and MSSSC year-long activities. We also host Family Honor Roll dinners, Student of the Month assemblies, family movie nights, staff vs. student basketball games, and our annual Community Carnival.",Cypress Hills,"528 Ridgewood Avenue, Brooklyn NY 11208","Yes–19K171, 19K760",Not Accessible,718-647-0111,schools.nyc.gov/schoolportals/19/k171,"J, Z to Crescent St","B13, Q24, Q56",K171U,Abraham Lincoln Intermediate School (I.S. 171),Unscreened,307,64,3,3,23,98,Y,Y,Open to students and residents of District 19,Priority to students residing in the zone,"Then to students and residents of District 19. Last year, this program admitted students from all priority groups.",,,,,,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hillcrest High School,University Neighborhood High School,Williamsburg High School for Architecture and Design,,,GR 6-8,No,8am-2:20pm,Yes,English as a New Language,No,Yes,Yes–Academic support for certain students,Yes–Saturday program,Spanish,Spanish,"Coding, Debate, Humanities and Spanish, Physical Education, Theater, Visual Arts",After-School English as a New Language Courses ; Basketball Team ; Enrichment After-School ELA and Math Courses ; Karate ; Modeling & Etiquette ; STEM Club ; Saturday Academy ; Soccer Club ; Students Government ; Theater Club ; Video Game Truck ; Yearbook Club,,,,"Boys Basketball Team, Soccer Club",11208,2,40.68618,-73.869625,5,37,1184,3092456,3041340020,Cypress Hills-City Line                                                    ,205
